sub,sov,cond,trial_amount
01,N2,T_prevhigh_1,88
02,N2,T_prevhigh_1,47
03,N2,T_prevhigh_1,100
04,N2,T_prevhigh_1,59
08,N2,T_prevhigh_1,57
09,N2,T_prevhigh_1,79
10,N2,T_prevhigh_1,68
11,N2,T_prevhigh_1,57
13,N2,T_prevhigh_1,103
14,N2,T_prevhigh_1,12
15,N2,T_prevhigh_1,77
16,N2,T_prevhigh_1,112
17,N2,T_prevhigh_1,96
19,N2,T_prevhigh_1,103
20,N2,T_prevhigh_1,34
21,N2,T_prevhigh_1,102
23,N2,T_prevhigh_1,22
24,N2,T_prevhigh_1,114
25,N2,T_prevhigh_1,60
26,N2,T_prevhigh_1,46
27,N2,T_prevhigh_1,28
28,N2,T_prevhigh_1,64
29,N2,T_prevhigh_1,72
30,N2,T_prevhigh_1,119
31,N2,T_prevhigh_1,53
32,N2,T_prevhigh_1,79
33,N2,T_prevhigh_1,108
34,N2,T_prevhigh_1,80
35,N2,T_prevhigh_1,38
36,N2,T_prevhigh_1,46
37,N2,T_prevhigh_1,88
38,N2,T_prevhigh_1,96
01,N2,T_prevhigh_2,89
02,N2,T_prevhigh_2,45
03,N2,T_prevhigh_2,101
04,N2,T_prevhigh_2,62
08,N2,T_prevhigh_2,56
09,N2,T_prevhigh_2,77
10,N2,T_prevhigh_2,71
11,N2,T_prevhigh_2,58
13,N2,T_prevhigh_2,103
14,N2,T_prevhigh_2,13
15,N2,T_prevhigh_2,80
16,N2,T_prevhigh_2,113
17,N2,T_prevhigh_2,100
19,N2,T_prevhigh_2,102
20,N2,T_prevhigh_2,34
21,N2,T_prevhigh_2,100
23,N2,T_prevhigh_2,20
24,N2,T_prevhigh_2,116
25,N2,T_prevhigh_2,58
26,N2,T_prevhigh_2,46
27,N2,T_prevhigh_2,26
28,N2,T_prevhigh_2,65
29,N2,T_prevhigh_2,73
30,N2,T_prevhigh_2,121
31,N2,T_prevhigh_2,53
32,N2,T_prevhigh_2,80
33,N2,T_prevhigh_2,107
34,N2,T_prevhigh_2,78
35,N2,T_prevhigh_2,38
36,N2,T_prevhigh_2,47
37,N2,T_prevhigh_2,91
38,N2,T_prevhigh_2,103
01,N2,T_prevhigh_3,89
02,N2,T_prevhigh_3,47
03,N2,T_prevhigh_3,100
04,N2,T_prevhigh_3,61
08,N2,T_prevhigh_3,57
09,N2,T_prevhigh_3,78
10,N2,T_prevhigh_3,78
11,N2,T_prevhigh_3,57
13,N2,T_prevhigh_3,100
14,N2,T_prevhigh_3,14
15,N2,T_prevhigh_3,84
16,N2,T_prevhigh_3,112
17,N2,T_prevhigh_3,102
19,N2,T_prevhigh_3,103
20,N2,T_prevhigh_3,33
21,N2,T_prevhigh_3,97
23,N2,T_prevhigh_3,21
24,N2,T_prevhigh_3,115
25,N2,T_prevhigh_3,58
26,N2,T_prevhigh_3,46
27,N2,T_prevhigh_3,30
28,N2,T_prevhigh_3,64
29,N2,T_prevhigh_3,73
30,N2,T_prevhigh_3,120
31,N2,T_prevhigh_3,52
32,N2,T_prevhigh_3,79
33,N2,T_prevhigh_3,107
34,N2,T_prevhigh_3,76
35,N2,T_prevhigh_3,36
36,N2,T_prevhigh_3,46
37,N2,T_prevhigh_3,92
38,N2,T_prevhigh_3,103
01,N2,T_prevhigh_4,90
02,N2,T_prevhigh_4,50
03,N2,T_prevhigh_4,101
04,N2,T_prevhigh_4,59
08,N2,T_prevhigh_4,58
09,N2,T_prevhigh_4,77
10,N2,T_prevhigh_4,84
11,N2,T_prevhigh_4,56
13,N2,T_prevhigh_4,99
14,N2,T_prevhigh_4,11
15,N2,T_prevhigh_4,79
16,N2,T_prevhigh_4,112
17,N2,T_prevhigh_4,100
19,N2,T_prevhigh_4,103
20,N2,T_prevhigh_4,33
21,N2,T_prevhigh_4,99
23,N2,T_prevhigh_4,21
24,N2,T_prevhigh_4,117
25,N2,T_prevhigh_4,60
26,N2,T_prevhigh_4,46
27,N2,T_prevhigh_4,30
28,N2,T_prevhigh_4,64
29,N2,T_prevhigh_4,74
30,N2,T_prevhigh_4,118
31,N2,T_prevhigh_4,53
32,N2,T_prevhigh_4,79
33,N2,T_prevhigh_4,107
34,N2,T_prevhigh_4,76
35,N2,T_prevhigh_4,36
36,N2,T_prevhigh_4,46
37,N2,T_prevhigh_4,93
38,N2,T_prevhigh_4,106
01,N2,T_prevmid_1,77
02,N2,T_prevmid_1,29
03,N2,T_prevmid_1,92
04,N2,T_prevmid_1,45
08,N2,T_prevmid_1,44
09,N2,T_prevmid_1,62
10,N2,T_prevmid_1,64
11,N2,T_prevmid_1,60
13,N2,T_prevmid_1,87
14,N2,T_prevmid_1,9
15,N2,T_prevmid_1,64
16,N2,T_prevmid_1,107
17,N2,T_prevmid_1,68
19,N2,T_prevmid_1,88
20,N2,T_prevmid_1,32
21,N2,T_prevmid_1,80
23,N2,T_prevmid_1,21
24,N2,T_prevmid_1,83
25,N2,T_prevmid_1,49
26,N2,T_prevmid_1,41
27,N2,T_prevmid_1,31
28,N2,T_prevmid_1,53
29,N2,T_prevmid_1,53
30,N2,T_prevmid_1,91
31,N2,T_prevmid_1,60
32,N2,T_prevmid_1,61
33,N2,T_prevmid_1,77
34,N2,T_prevmid_1,57
35,N2,T_prevmid_1,30
36,N2,T_prevmid_1,49
37,N2,T_prevmid_1,68
38,N2,T_prevmid_1,63
01,N2,T_prevmid_2,77
02,N2,T_prevmid_2,30
03,N2,T_prevmid_2,92
04,N2,T_prevmid_2,45
08,N2,T_prevmid_2,44
09,N2,T_prevmid_2,61
10,N2,T_prevmid_2,68
11,N2,T_prevmid_2,65
13,N2,T_prevmid_2,89
14,N2,T_prevmid_2,9
15,N2,T_prevmid_2,69
16,N2,T_prevmid_2,107
17,N2,T_prevmid_2,62
19,N2,T_prevmid_2,88
20,N2,T_prevmid_2,30
21,N2,T_prevmid_2,83
23,N2,T_prevmid_2,21
24,N2,T_prevmid_2,82
25,N2,T_prevmid_2,51
26,N2,T_prevmid_2,42
27,N2,T_prevmid_2,28
28,N2,T_prevmid_2,54
29,N2,T_prevmid_2,53
30,N2,T_prevmid_2,91
31,N2,T_prevmid_2,60
32,N2,T_prevmid_2,61
33,N2,T_prevmid_2,76
34,N2,T_prevmid_2,58
35,N2,T_prevmid_2,30
36,N2,T_prevmid_2,49
37,N2,T_prevmid_2,66
38,N2,T_prevmid_2,65
01,N2,T_prevmid_3,76
02,N2,T_prevmid_3,31
03,N2,T_prevmid_3,91
04,N2,T_prevmid_3,47
08,N2,T_prevmid_3,44
09,N2,T_prevmid_3,61
10,N2,T_prevmid_3,68
11,N2,T_prevmid_3,64
13,N2,T_prevmid_3,90
14,N2,T_prevmid_3,10
15,N2,T_prevmid_3,62
16,N2,T_prevmid_3,105
17,N2,T_prevmid_3,66
19,N2,T_prevmid_3,87
20,N2,T_prevmid_3,31
21,N2,T_prevmid_3,84
23,N2,T_prevmid_3,21
24,N2,T_prevmid_3,82
25,N2,T_prevmid_3,52
26,N2,T_prevmid_3,41
27,N2,T_prevmid_3,24
28,N2,T_prevmid_3,53
29,N2,T_prevmid_3,52
30,N2,T_prevmid_3,89
31,N2,T_prevmid_3,60
32,N2,T_prevmid_3,61
33,N2,T_prevmid_3,78
34,N2,T_prevmid_3,57
35,N2,T_prevmid_3,30
36,N2,T_prevmid_3,48
37,N2,T_prevmid_3,68
38,N2,T_prevmid_3,66
01,N2,T_prevmid_4,78
02,N2,T_prevmid_4,31
03,N2,T_prevmid_4,92
04,N2,T_prevmid_4,46
08,N2,T_prevmid_4,44
09,N2,T_prevmid_4,61
10,N2,T_prevmid_4,67
11,N2,T_prevmid_4,67
13,N2,T_prevmid_4,91
14,N2,T_prevmid_4,10
15,N2,T_prevmid_4,65
16,N2,T_prevmid_4,106
17,N2,T_prevmid_4,66
19,N2,T_prevmid_4,87
20,N2,T_prevmid_4,30
21,N2,T_prevmid_4,83
23,N2,T_prevmid_4,20
24,N2,T_prevmid_4,81
25,N2,T_prevmid_4,53
26,N2,T_prevmid_4,40
27,N2,T_prevmid_4,27
28,N2,T_prevmid_4,54
29,N2,T_prevmid_4,52
30,N2,T_prevmid_4,90
31,N2,T_prevmid_4,59
32,N2,T_prevmid_4,60
33,N2,T_prevmid_4,78
34,N2,T_prevmid_4,56
35,N2,T_prevmid_4,29
36,N2,T_prevmid_4,47
37,N2,T_prevmid_4,68
38,N2,T_prevmid_4,68
01,N2,T_prevlow_1,81
02,N2,T_prevlow_1,52
03,N2,T_prevlow_1,118
04,N2,T_prevlow_1,64
08,N2,T_prevlow_1,63
09,N2,T_prevlow_1,91
10,N2,T_prevlow_1,75
11,N2,T_prevlow_1,79
13,N2,T_prevlow_1,144
14,N2,T_prevlow_1,12
15,N2,T_prevlow_1,99
16,N2,T_prevlow_1,152
17,N2,T_prevlow_1,111
19,N2,T_prevlow_1,123
20,N2,T_prevlow_1,46
21,N2,T_prevlow_1,85
23,N2,T_prevlow_1,36
24,N2,T_prevlow_1,96
25,N2,T_prevlow_1,54
26,N2,T_prevlow_1,57
27,N2,T_prevlow_1,44
28,N2,T_prevlow_1,64
29,N2,T_prevlow_1,53
30,N2,T_prevlow_1,137
31,N2,T_prevlow_1,71
32,N2,T_prevlow_1,59
33,N2,T_prevlow_1,106
34,N2,T_prevlow_1,91
35,N2,T_prevlow_1,40
36,N2,T_prevlow_1,70
37,N2,T_prevlow_1,117
38,N2,T_prevlow_1,104
01,N2,T_prevlow_2,80
02,N2,T_prevlow_2,51
03,N2,T_prevlow_2,119
04,N2,T_prevlow_2,65
08,N2,T_prevlow_2,63
09,N2,T_prevlow_2,91
10,N2,T_prevlow_2,76
11,N2,T_prevlow_2,76
13,N2,T_prevlow_2,145
14,N2,T_prevlow_2,11
15,N2,T_prevlow_2,100
16,N2,T_prevlow_2,152
17,N2,T_prevlow_2,107
19,N2,T_prevlow_2,123
20,N2,T_prevlow_2,46
21,N2,T_prevlow_2,85
23,N2,T_prevlow_2,36
24,N2,T_prevlow_2,97
25,N2,T_prevlow_2,54
26,N2,T_prevlow_2,57
27,N2,T_prevlow_2,43
28,N2,T_prevlow_2,64
29,N2,T_prevlow_2,54
30,N2,T_prevlow_2,135
31,N2,T_prevlow_2,70
32,N2,T_prevlow_2,58
33,N2,T_prevlow_2,106
34,N2,T_prevlow_2,92
35,N2,T_prevlow_2,40
36,N2,T_prevlow_2,68
37,N2,T_prevlow_2,115
38,N2,T_prevlow_2,104
01,N2,T_prevlow_3,81
02,N2,T_prevlow_3,48
03,N2,T_prevlow_3,119
04,N2,T_prevlow_3,66
08,N2,T_prevlow_3,62
09,N2,T_prevlow_3,91
10,N2,T_prevlow_3,76
11,N2,T_prevlow_3,79
13,N2,T_prevlow_3,144
14,N2,T_prevlow_3,12
15,N2,T_prevlow_3,96
16,N2,T_prevlow_3,151
17,N2,T_prevlow_3,108
19,N2,T_prevlow_3,123
20,N2,T_prevlow_3,46
21,N2,T_prevlow_3,86
23,N2,T_prevlow_3,36
24,N2,T_prevlow_3,98
25,N2,T_prevlow_3,55
26,N2,T_prevlow_3,57
27,N2,T_prevlow_3,43
28,N2,T_prevlow_3,66
29,N2,T_prevlow_3,55
30,N2,T_prevlow_3,136
31,N2,T_prevlow_3,68
32,N2,T_prevlow_3,57
33,N2,T_prevlow_3,107
34,N2,T_prevlow_3,91
35,N2,T_prevlow_3,41
36,N2,T_prevlow_3,68
37,N2,T_prevlow_3,116
38,N2,T_prevlow_3,106
01,N2,T_prevlow_4,81
02,N2,T_prevlow_4,55
03,N2,T_prevlow_4,119
04,N2,T_prevlow_4,66
08,N2,T_prevlow_4,62
09,N2,T_prevlow_4,90
10,N2,T_prevlow_4,80
11,N2,T_prevlow_4,80
13,N2,T_prevlow_4,143
14,N2,T_prevlow_4,12
15,N2,T_prevlow_4,92
16,N2,T_prevlow_4,151
17,N2,T_prevlow_4,110
19,N2,T_prevlow_4,122
20,N2,T_prevlow_4,46
21,N2,T_prevlow_4,86
23,N2,T_prevlow_4,36
24,N2,T_prevlow_4,98
25,N2,T_prevlow_4,55
26,N2,T_prevlow_4,57
27,N2,T_prevlow_4,46
28,N2,T_prevlow_4,68
29,N2,T_prevlow_4,55
30,N2,T_prevlow_4,137
31,N2,T_prevlow_4,68
32,N2,T_prevlow_4,57
33,N2,T_prevlow_4,106
34,N2,T_prevlow_4,92
35,N2,T_prevlow_4,41
36,N2,T_prevlow_4,68
37,N2,T_prevlow_4,117
38,N2,T_prevlow_4,103
01,N2EliwJKc,T_prevhigh_1,8
02,N2EliwJKc,T_prevhigh_1,0
03,N2EliwJKc,T_prevhigh_1,8
04,N2EliwJKc,T_prevhigh_1,3
08,N2EliwJKc,T_prevhigh_1,4
09,N2EliwJKc,T_prevhigh_1,7
10,N2EliwJKc,T_prevhigh_1,3
11,N2EliwJKc,T_prevhigh_1,11
13,N2EliwJKc,T_prevhigh_1,12
14,N2EliwJKc,T_prevhigh_1,5
15,N2EliwJKc,T_prevhigh_1,6
16,N2EliwJKc,T_prevhigh_1,17
17,N2EliwJKc,T_prevhigh_1,7
19,N2EliwJKc,T_prevhigh_1,9
20,N2EliwJKc,T_prevhigh_1,3
21,N2EliwJKc,T_prevhigh_1,10
23,N2EliwJKc,T_prevhigh_1,4
24,N2EliwJKc,T_prevhigh_1,6
25,N2EliwJKc,T_prevhigh_1,3
26,N2EliwJKc,T_prevhigh_1,6
