sub,sov,cond,trial_amount
02,N2,T650_1,43
03,N2,T650_1,68
04,N2,T650_1,62
08,N2,T650_1,64
09,N2,T650_1,83
10,N2,T650_1,86
11,N2,T650_1,60
13,N2,T650_1,88
14,N2,T650_1,24
15,N2,T650_1,99
16,N2,T650_1,92
17,N2,T650_1,57
19,N2,T650_1,97
20,N2,T650_1,83
21,N2,T650_1,88
23,N2,T650_1,65
24,N2,T650_1,105
25,N2,T650_1,83
26,N2,T650_1,28
27,N2,T650_1,33
28,N2,T650_1,100
29,N2,T650_1,77
30,N2,T650_1,114
31,N2,T650_1,87
32,N2,T650_1,63
33,N2,T650_1,120
34,N2,T650_1,65
35,N2,T650_1,69
36,N2,T650_1,58
37,N2,T650_1,61
38,N2,T650_1,88
02,N2,T845_1,43
03,N2,T845_1,69
04,N2,T845_1,63
08,N2,T845_1,72
09,N2,T845_1,82
10,N2,T845_1,80
11,N2,T845_1,52
13,N2,T845_1,90
14,N2,T845_1,29
15,N2,T845_1,96
16,N2,T845_1,89
17,N2,T845_1,48
19,N2,T845_1,104
20,N2,T845_1,87
21,N2,T845_1,93
23,N2,T845_1,68
24,N2,T845_1,111
25,N2,T845_1,91
26,N2,T845_1,31
27,N2,T845_1,39
28,N2,T845_1,95
29,N2,T845_1,75
30,N2,T845_1,119
31,N2,T845_1,87
32,N2,T845_1,68
33,N2,T845_1,114
34,N2,T845_1,59
35,N2,T845_1,66
36,N2,T845_1,53
37,N2,T845_1,57
38,N2,T845_1,89
02,N2,T1098_1,51
03,N2,T1098_1,71
04,N2,T1098_1,57
08,N2,T1098_1,65
09,N2,T1098_1,83
10,N2,T1098_1,78
11,N2,T1098_1,56
13,N2,T1098_1,88
14,N2,T1098_1,23
15,N2,T1098_1,95
16,N2,T1098_1,94
17,N2,T1098_1,54
19,N2,T1098_1,104
20,N2,T1098_1,77
21,N2,T1098_1,92
23,N2,T1098_1,66
24,N2,T1098_1,109
25,N2,T1098_1,90
26,N2,T1098_1,33
27,N2,T1098_1,32
28,N2,T1098_1,100
29,N2,T1098_1,75
30,N2,T1098_1,122
31,N2,T1098_1,94
32,N2,T1098_1,65
33,N2,T1098_1,112
34,N2,T1098_1,63
35,N2,T1098_1,67
36,N2,T1098_1,57
37,N2,T1098_1,59
38,N2,T1098_1,83
02,N2,T1428_1,48
03,N2,T1428_1,78
04,N2,T1428_1,57
08,N2,T1428_1,67
09,N2,T1428_1,86
10,N2,T1428_1,78
11,N2,T1428_1,56
13,N2,T1428_1,88
14,N2,T1428_1,26
15,N2,T1428_1,94
16,N2,T1428_1,86
17,N2,T1428_1,50
19,N2,T1428_1,100
20,N2,T1428_1,87
21,N2,T1428_1,90
23,N2,T1428_1,67
24,N2,T1428_1,114
25,N2,T1428_1,90
26,N2,T1428_1,32
27,N2,T1428_1,39
28,N2,T1428_1,92
29,N2,T1428_1,74
30,N2,T1428_1,121
31,N2,T1428_1,91
32,N2,T1428_1,64
33,N2,T1428_1,109
34,N2,T1428_1,51
35,N2,T1428_1,68
36,N2,T1428_1,61
37,N2,T1428_1,57
38,N2,T1428_1,96
02,N2,T1856_1,47
03,N2,T1856_1,67
04,N2,T1856_1,54
08,N2,T1856_1,68
09,N2,T1856_1,84
10,N2,T1856_1,77
11,N2,T1856_1,55
13,N2,T1856_1,84
14,N2,T1856_1,29
15,N2,T1856_1,89
16,N2,T1856_1,88
17,N2,T1856_1,60
19,N2,T1856_1,102
20,N2,T1856_1,87
21,N2,T1856_1,86
23,N2,T1856_1,63
24,N2,T1856_1,112
25,N2,T1856_1,89
26,N2,T1856_1,32
27,N2,T1856_1,31
28,N2,T1856_1,92
29,N2,T1856_1,75
30,N2,T1856_1,115
31,N2,T1856_1,90
32,N2,T1856_1,61
33,N2,T1856_1,112
34,N2,T1856_1,58
35,N2,T1856_1,67
36,N2,T1856_1,54
37,N2,T1856_1,57
38,N2,T1856_1,88
02,N2,T2413_1,43
03,N2,T2413_1,72
04,N2,T2413_1,55
08,N2,T2413_1,68
09,N2,T2413_1,81
10,N2,T2413_1,74
11,N2,T2413_1,49
13,N2,T2413_1,88
14,N2,T2413_1,28
15,N2,T2413_1,90
16,N2,T2413_1,83
17,N2,T2413_1,51
19,N2,T2413_1,98
20,N2,T2413_1,81
21,N2,T2413_1,98
23,N2,T2413_1,64
24,N2,T2413_1,110
25,N2,T2413_1,91
26,N2,T2413_1,27
