"Component","Stage","N_Subjects","N_Observations","Better_Model","Linear_Slope","Linear_P","Step_Location","Step_Size","Step_P","Linear_AIC","Step_AIC","Comparison_P","BF_Step_vs_Linear"
"N100","wn",32,128,"step",0.190828811190794,0.00300466751496999,"12",0.640011189525146,8.83947356983294e-05,370.249998952992,361.753917640357,NA,69.9681862303566
"N100","N1",32,125,"step",0.0023921354290176,0.986433641871987,"34",0.192269771538794,0.560967603906895,517.081372905529,514.84724320494,NA,3.05587158649209
"N100","N2",32,124,"step",-0.247055548821442,3.22894131024609e-05,"12",-1.09514723617849,5.45571669082964e-17,309.910459716463,255.929252069262,NA,527072434863.148
"N100","N3",32,123,"step",-0.346238416184437,0.0026782870617555,"12",-1.40084294547836,1.26502809735846e-06,455.487039183753,438.917710517433,NA,3962.63439036684
"N100","REM",32,126,"step",-0.144955000090804,0.00881862877226116,"23",-0.361424034020763,0.00447357720310529,301.478580719467,298.628879357041,NA,4.1572370428147
"N100","tREM",32,126,"step",-0.13562005438256,0.129318823405713,"34",-0.294082996382259,0.20749618496885,410.429690785047,409.239785193109,NA,1.81294536461105
"N100","pREM",32,127,"step",-0.242946468094232,0.00341526671025322,"23",-0.565218108690165,0.00228286920971605,386.905954131966,384.565679600167,NA,3.22243493860274
"P2","wn",32,126,"step",-0.43467735541635,7.5489746539093e-09,"12",-1.35808424816028,1.31813176755905e-14,394.948660631369,367.450480763378,NA,935737.188012718
"P2","N1",32,124,"step",-0.756620174483723,6.38123284174365e-05,"12",-2.59305548008386,2.56230819602186e-08,574.029243439537,557.044028584836,NA,4878.57002064777
"P2","N2",32,124,"step",-0.886645889839056,8.50878170302521e-10,"12",-3.17270415660913,5.31569071580904e-24,488.295975159926,421.663304794119,NA,294510326494690
"P2","N3",32,114,"step",-0.705935965421085,8.248517616708e-05,"12",-2.25800158305249,4.05055910355185e-07,531.718789624585,519.618911937896,NA,424.087093503339
"P2","REM",32,123,"linear",-0.362599180593379,7.8150661378352e-07,"12",-0.84211935345347,1.02212906626961e-05,373.660801833741,376.711112083474,NA,0.217587301046071
"P2","tREM",32,123,"linear",-0.44281773685886,6.91409882042215e-05,"23",-0.838245962085907,0.000586835399873458,467.351901839158,469.842004182832,NA,0.287926174042496
"P2","pREM",32,126,"step",-0.32558036079701,4.10837774204833e-05,"12",-0.891298672719524,1.32217701947903e-05,393.050814053933,388.97722264968,NA,7.6660056357987
"N350","wn",32,128,"step",0.509360563333359,4.1330971010399e-09,"12",1.80580199339926,1.82172788710588e-19,404.290780695155,355.308089719896,NA,43296839894.0487
"N350","N1",32,127,"step",0.354292227245575,0.082179540328645,"23",0.825623479127554,0.0703485585960495,616.030458480496,614.173221883875,NA,2.53100966020635
"N350","N2",32,124,"step",0.85901721996069,8.50801932201746e-12,"23",1.96096500729389,6.98817213195788e-13,486.593885497445,480.084043162278,NA,25.9175713086853
"N350","N3",32,126,"step",1.57542829369881,1.03445361226861e-08,"23",3.49165891027414,8.29374966655596e-09,690.318245073719,688.303030772303,NA,2.73903905958696
"N350","REM",32,128,"step",0.151795506108837,0.0106643966748874,"12",0.408479687477102,0.00769035676480967,346.135577721593,343.65161648185,NA,3.46246450387176
"N350","tREM",32,128,"step",0.172139904669699,0.0681170286669977,"12",0.549506451001927,0.0234450602439753,457.61036413709,453.896376136136,NA,6.40445601524593
"N350","pREM",32,127,"step",0.023789346660016,0.799673546905692,"34",0.231858565532686,0.36529136046671,420.655711903842,417.988400027248,NA,3.7948919482079
